Timestamp,Access Restricted,Are you feeling good right now?,"What do you mean by ""Somewhat""?",You can fix it. List some ways,List all actions/remedies,Are you the reason for your happiness?,Explain,Select the Ayes,Anything special?,"Type something that starts with ""I am"" or ""I have"" ",Brief description of your Day,Major Affairs,Overall Chart [Row 4],Is there a recent event that has affected your mood so drastically?,Explain what event affected you drastically and how it affected you.,"Now, that you got that out of your system and are thinking clearly, are you feeling good right now?",Please quickly list today's events that affected you such that you still remember it. Both negatives and positives. Approx time: 7-10 minutes,"List what you did and why you would have liked to change that. It is better to be clear in your grammar so a typical entry could start with - ""I did not..."" or ""I was very..."" ",,What are the existing life learnings/ideas/biases that got positively reinforced today?,List the existing life learnings/ideas/biases that changed or weakened today and explain how or why?,List some of the habits that you are (already/going to) trying to incorporate/break ,"List some events/activities that are planned for tomorrow. Also, describe how you are preparing for or performing in them.","Between now and the next 3-5 days, what change do you foresee, what milestone will you reach?","For the above-mentioned goals, chalk out a plan, or just a small action flow. ","Did you fail to follow/break any habits (not just from the ones that you've listed above)? If so, explain in detail why and how you will prevent that from happening again.","Long term goals are for a targetted duration of 3-5 months. Due to the long timeframe, specific questions cannot be framed. Feel free to let your heart out on this one.","List all the worries along with what you can do to reduce/alleviate them. If you don't have the latter, stop worrying about it :)",Just pour your heart out! ,"Type something that starts with ""I am"" or ""I have"" ","Type something that starts with ""I am"" or ""I have"" ","Type something that starts with ""I am"" or ""I have"" ","Type something that starts with ""I am"" or ""I have"" ",Chronology [Exercise / Yoga],Chronology [Brush], [Row 3],Chronology [Bath],Chronology [Breakfast],Chronology [Study / Read / Code], [Work],Chronology [Lunch],Chronology [Rest / Siesta],Chronology [Learn / Practise], [Row 9],Chronology [Play a sport],Chronology [Snacks],Chronology [Dinner],Chronology [Evening Read / Work],Chronology [Second brush], [Row 15],Chronology [Sleep],What is the thought that you would like to sleep on?,Chronology [Water],Chronology [Morning Dry Fruits],Chronology [Recreational Activity],Chronology [Take a dump],Chronology [Second Shat],Chronology [Third trip to the toilet ],What recreational activities/ learn / practise etc?,Describe meals of the day,,"This is the list of your previous ""I ams"", select one randomly",Tick off the ones you followed! Subconscious or Conscious!,Are you sure that you want to continue filling this form?,Chronology [Meditation],,Would you like to continue filling the form?,,,,,Chronology [Row 15],Chronology [Row 16],Worries
3/4/2020 20:34:38,3343,Somewhat,,,,,,,,I am not tired out easily in the evening,john being very supporting and encouraging with what I want to do,,,No,,,"meeting with john
not working after returning home","would have quickly refreshed  myself and started working in the evening
would have quickly iterated through my points in a more clear cut manner at the meeting without being strongly opinionated about gunrock

",,"owens research lab will open up my vision and change me for the better, I need to work hard and smart!","1. research is fantasy based. No its not, it needs a  concrete direction too!

2. i was worried about the end goal, but when john said, if you can go back, no matter the end result with some learning, some gpgpu experience, its a win too","1. being a good communicator
2. being good at time and task management","nothing is planned. the usual. 
I will try to make this day a productive benchmark to look back and contemplate upon",get a better idea on how to make GNNs work with Gunrock. Read and learn more about GNNs.,"I will try not to be vague.

I will read up on some interesting GNNs and how they have cranked up the application space.
I will try to get some interesting connection with how DNNs help with something that nothing has been able to do.
I am going to study in depth the communication and computation patterns.
I am going to get better at CUDA and study some kernels that I might have to implement with Gunrock.","1. not reading what I want to read.
2. not playing the harmonica seriously
3. gym hasnt started",kill the project,"1. dating someone in US

be patient with the apps I guess?

",Just be you! But notice others and question yourself to learn and grow,I am not tired out easily in the evening,I am not tired out easily in the evening,I am not tired out easily in the evening,I am not tired out easily in the evening,1,3,,Didn't do it,2,Didn't do it,,4,Didn't do it,Didn't do it,,Didn't do it,5,7,6,8,,9,I am again filling this form the next day,,,,,,,,,,,,,,,,,,,,,,
3/5/2020 14:52:27,3343,Yes,,,,,,,,I am productive and manage my time well,"Meeting with Serban

Notes cleanup",,,Yes,"I was going through Kacie's profile. And saw that she is a free-spirited person, something I love in a person and I began to think will I fall in love with her? This got me exploring more about her and that fact that she has taken up meditation and yoga at an early age made me wonder about how different she would be from me.

It affected me in a strong way as firstly, of course, it made me think about the date on Monday and what it could lead to but it got me thinking that here's a crazy person, what can I learn from her?

 I am in the condition to fill this form.",Yes,"1. I spent time developing a vscode extension, something I would never have done before. I remember few months back, I kept telling myself that I want to be more methodical and I can definitely see the change. I believe in this power of change now. The power to be able to do and become whatever you envision.

2. I can see myself being more self-accepting and less stressed about my impression on the world. Which is something I like! Basically doing what I want to do. Another thing that I really wanted to change.

3. Less productivity but hopefully more structured? I was not very productive and I think the reason is that I look at my long list of TODOs and get demotivated. Right now just after this form, I will clean everything and get on track for tomorrow.","1. I would not have missed the point JDO mentioned for communication with Ben (reply to email - specifically the point about mentioning perhaps you could throw some light..)

2. I would have spent less time messing with my hair, I dont care how I look unless presentation matters, for example the date.

3. I did not play the harmonica today. 

4. A lot to do with my thoughts. Need to analyse them when they come.",,"1. We can become what/who we envision.

2. There are crazy people out there.

3. Being more specific always helps, try to question things that perplex you.","That I am fast in coding, I am not and that's not a bad thing. Its better to be a slow learner initially than a wreck later","1. I need to make my keep tasks help me better.
2. Harmonica
3. Breathing
4. Harmonica + Breathing","1. Hard work! Lots of methodical work
2. Tennis :) Will ping Felix","1. More clarity on Graph Neural Networks. 
2. Make Ben seem confident about me and make him excited about GNNs
3. Finish Graphalytics
4. Finish Resume update with Mamu","1 and 2 are linked. Have added 3 in calendar. 4 will be priority, will discuss with Mamu.",To focus more on the work in the lab.,Publication with Owens,"1. Dad
Tell him about your life someday, your experiences, journal it like you did for everything.

2. My physical health
I have India at the back of my head for all the bone/ligament injuries. What else can I do?

3. What Serban said - about finding a project and that he would have these for me for gunrock.
I think communication and hardwork is key. If you help yourself, John will be able to help you better. So WORK HARD & SMART

","1. VSCode extension

2. Methodological coding

3. DARPA funding mechanism with research labs

4. openreview.net

5. 16personalities.com

6. I can do what I envision :)",I am productive and manage my time well,I am productive and manage my time well,I am productive and manage my time well,I am productive and manage my time well,1,5,,2,3,Didn't do it,,6,Didn't do it,4,,Didn't do it,Didn't do it,7,9,8,,10,take up a coding question from kickstart and focus on it without checking solution,,,,,,,,,,,,,,,,,,,,,,
3/6/2020 13:13:02,3343,Somewhat,,,,,,,,I am better at communicating what I want to say,"Fixed Bike

Was not able to get myself to listen to the podcast, it wasn't fun!",,,No,,,"1. Played Tennis and connected with Felix
2. Got a potential project in mind
3. Didn't drink with Andy","1. I would have focused more on playing better shots in tennis.
2. I would have practiced the harmonica after returning from tennis
3. I would have limited my time on the phone
4, Would have responded when I heard Andy call me out",,"1. I have some self discipline
2. I am a people pleaser plus pervert",Corona virus might be serious after all!,"1. CUDA and Rust Programming
2. Better time management (allocate tasks to meaningful slots)
3. Better task management (perform the tasks that have been allocated)
4. Better incorporation of life hacks
5. New cycle adjustment every day to ride handless
6. Harmonica
7. Not butting in every time if I know something, to not always say/contradict/modify","1. Pack my bag for Santa Clara, I think I'll leave directly from work. Don't forget your passport.

2. Reading material for train

3. HPC2 Meeting?","1. This weekend I want to see if I can stick to my goal of being productive
2. I will add some hobby time in along with work
3. And of course all other time is with them!
4. I hate to admit it, but I would like to make Owens think, by working super damn hard, that I am capable and worthy of whatever he has!","1. I have google calendar slots
2. A way to make my work sound serious to Mamu and Mami when they try to include me something not fun
3. The SC paper is important and will not happen without results! Get your experimentation on!","1. Rust Exercism
Betting on this weekend
2. using my audio messages for feelings and other usecases?
","Paper from project with Owens
Meaningful time at Davis with new people","1. Whether the project idea I have will work out
There's only one way to reinforce this idea and then find out :)
2. I am not exploring America
You got your response from Jake on Couchsurfing, be patient, things will work out, you have the money (dont forget)
3. Will I get a job?
Dont skip steps, get Mamu's help for references, prepare consistently for your interview and leave the rest to the universe
4. When will I start CUDA? When will I continue Rust?
This is you not managing your extra time well, get better at spacing out and staying more in the lab maybe? find ways to take a break! Add them in your evening slots! Wednesday Rust? Thursday and Friday CUDA?","1. use a smaller wrench to tighten a bigger screw
2. so much of research is just connecting and post-experimental explanation, we do not know how this world functions
3. henry is so like old me",I am better at communicating what I want to say,I am better at communicating what I want to say,I am better at communicating what I want to say,I am better at communicating what I want to say,Didn't do it,3,,Didn't do it,2,Didn't do it,,4,Didn't do it,1,,6,7,5,Didn't do it,8,,9,I am good at communicating what I want to say,,,,,,,,,,,,,,,,,,,,,,
3/8/2020 20:45:30,3343,No,,,,,,,,I am going to focus on the task at hand,,,,No,,,"1. I didn't fill the form for the last two days (this is the morning of the third day)\

2. I was not at all as productive as I thought I would be

3. Learnt and grew in Poker

","1. I would work more

2. I would do one thing at a time but properly

3. I would be less fidgety",,"1. Parenting is difficult
2. I analyze a lot","1. How to play poker
2. I dont think properly and fast as I am over analysing","1. Be more calm in dealings
2. Care less of something gone after extracting the learnings
3. Less context switching","1. Lunch with Acacia
Keep some things to ask, what would be something you can't know from her experiences

2. Lindy Hop
I will do the follow's part

3. Work hard
Especially do the graphalytics","1. More clarity on project
2. More focus on health","1. Everyday surya namaskar, no matter what
2.. be rational and stop wasting time
3. I wouldn't want you to waste your time on more research questions",1. Filling the form,"Now with COVID, is job search still easy? Getting something concrete in America","1. I didnt work this weekend.
You still have today, remedy :)

2. Date with Kacie (Acacia)
Make it like a normal meet, make her feel important but in a real sense.

3. Tuesday Meeting
Need to prepare, late night, early morning, coffee for life

4. Communicating with Ben
Find a use case, get some results, ask him for his help","1 That in poker, I should not just bluff blindly and think from the other persons point of view. If I have played a lot of money but I know that I won't win, why play. I dont need to always lead, or imply or justify. Be logical in your dealings, reduce luck play. Be patient.

2. Explain things in simple terms, on Friday (yes. I didnt fill the form), Chuck explained his field in such simple terms that it helped instead of making me judge.

3. What do you want to know or do or say, dont beat around the bush.",I am going to focus on the task at hand,I am going to focus on the task at hand,I am going to focus on the task at hand,I am going to focus on the task at hand,Didn't do it,1,,3,2,4,,5,6,Didn't do it,,Didn't do it,7,8,Didn't do it,Didn't do it,,9,N.A. as filling the form in the morning,,,,,,,,,,,,,,,,,,,,,,
3/11/2020 13:36:19,3343,Yes,,,,,,,,I am calm,,,,No,,,"1. remote meeting with john
2. github new experience
3. trader joes
4. dinner
5. realised that I never answer the question properly
6. not going for a run
7. realising how restless I am
8. speaking with hedge and realising that I don't have new things to ask
9. transferwise setup
10. texted mikaela","1. I would have slept early last night and gone for a run
2. I would have applied volini
3. I would have prepared a direction and worked therein
4. less over the head analysis
5. slower and calmer during the presentation",,"1. less productivity when unplanned
 - i.e. when there was a clear task (engineering) in mind I was able to focus and always do something logical and in the direction of the task but whenever I was not having a direction (its not true that research tasks are like that), I was getting distracted easily and also not moving towards global optima (task completion).","1. Life is not the best when its random as then there is no true randomness. I think randomness is best when its truly random and that means that you need to be structured and flexible! Follow a schedule but also adapt, create habits and also break!","1. to be calmer
2. health","1. super work mode!
2. health fitness continuation
3. harmonica back on track
4. leet code!","1. more mental growth
2. getting better at task/time management","1. focus on whats distracting me
2. be more in the moment
3. know what you're doing and do that","1. harmonica - I have just been playing two tunes and so I need to now know what I want to do and go about doing that
",1. figuring out what I want to do in life,"1. I have spent 1 month figuring out what I want to do and the best ideas that I have are the ones that I have really paid attention to and read. I need to start getting my hands dirty with code as 4 months will pass quite quickly. As John mentioned that the best thing to do would be to find structural patterrns that fit the communication and computation patterns of gunrock in specific and gpus in general.

2. What will I do during the swing break, get bored?
Stay fit, there is the arc, there are lab members, connect with them? are they there in the summer?

3. I might forget all my dance!
Well I just hope that you don't! America is expensive, find out a way to deal with it!","1. My primary learning is that I should focus on the task at hand which starts from knowing what the task at hand is and even right now when I type I should be aware about what the task at hand is and not start diverting my brain into a third dimension where I meta think a lot.

This will take a lot of practise but I will get better!

2. Second learning is that the reason that I feel like I have the will power right now is because I dont have dopamine release as I don't get matches on dating apps. But if I start talking to someone, I am pretty sure that I will get hooked to my phone again as I will be waiting for her message frequently!

3. Third learning is that I should not be uncomfortable unknowingly at any point of time, this includes my body posture, my breathing, my looks and appearance. I should live more with myself!",I am calm,I am calm,I am calm,I am calm,Didn't do it,5,,4,3,Didn't do it,,6,Didn't do it,Didn't do it,,Didn't do it,7,8,9,10,,11,"Nothing, sleep like a log/baby. So will calm all my muscles and release all tension.",1,2,Didn't do it,,,,,,,,,,,,,,,,,,,
3/12/2020 13:23:04,3343,Somewhat,,,,,,,,I am into whatever I am doing,,,,No,,,"1. no dating app matches
2. no groups to have a good time or enjoy outdoors with
3. figuring out $mod+t lookup
4. headaches
5. chose to skip the GA topic
6. cooked dinner
7. read book
8. dance monkey on the harp!","1. getting desperate to talk/connect with new people (girls)
2. opened facebook multiple times just to check if mikaela reached back out
3. not listening to myself",,1. feels good to workout/yoga,1. overloading,"1. stop biting finger nails
2, stop digging nose
3. reduce monkey mindedness
4. meditation? but how?","1. vscode integration
2. meeting with agnes
3. focus on health related stuff - read up on old things etc","1. be more calm
2. plan before executing
3. focus on typin","1. using task warrior for computer tasks perhaps
2. if i know how and the exact steps, i still need to execute them and get faster, the learning is in being more focused and faster
3. start sleeping early and doing this form earlier so that I can sit up straight and type","loads, need to track them with calendar events and reminders!","1. project!
2. experiences in davis","1. distracted easily
practise everyday! really look into it
2. hairfall
get some american solutions
3. body pain
get ibuprofen
4. friends
focus on self","1. Explaining something in simpler terms does not reduce its complexity, as Chuck did that with his field, it not only ignited in me interest for Computer Graphics, but also made me think along those lines. Stop making your stuff complicated to make it seem cool, you have been doing it just to make it sound amazing, that's not the end goal. More often than not, connecting with the other person is important.
2. what do you want to know, dont beat around the bush",I am into whatever I am doing,I am into whatever I am doing,I am into whatever I am doing,I am into whatever I am doing,3,6,,5,4,Didn't do it,,7,Didn't do it,10,,Didn't do it,11,8,9,12,,13,"Nothing, sleep like a log/baby. So will calm all my muscles and release all tension.",1,2,Didn't do it,,,,,,,,,,,,,,,,,,,
3/13/2020 21:46:31,3343,Not at all,,,,,,,,I am fuckless about others noticing my belly when I breathe,,,,No,,,"1. masturbated thrice
2. desperate to get a match
3. desperate for like minded friends
4. wrong address huel
5. lazy for work
6. zero productivity
7. zero work
8. binged on new girl","1. I don't know, I would say multiple things but I don't know if that's reasonable.
2.  My head was aching and I should have rested it out
3.  I should just ignore my phone",,"1. Mornings are the most productive time
2. Phones increase headache
3. People will bitch about you if you aren't around (and are bitchworthy)",1. I can indeed masturbate the second time in quick succession,"1. following schedules
2. to stop using hinge every morning ","1. get address proof
2. meeting with yuxin
3. vscode extension
4. some quick code browsing through multiple repositories","1. healthcare
2. reading
3. coding","1. habituate on daily small stuff like nail cream, oiling, body cream, face wash, no biting, no scratching, hair care
2. read using polar :)
3. write some cuda code!! things will go south otherwise","Not in the mood to analyse:
1. fill the form at night, not when I am dead tired and just sleep.
2. using the long term goal question properly, I always say the same things, it's supposed to be a daily thing","1. be better at communication
2. be better at saying no","1. I had some ideas about writing this form but then I got distracted and flimsied out, my memory is weak and I do know about it but there isn't much that I can do.
2. That I have lost my self discipline
 - I can try to prioritize various tasks
3. What if California is in lock down? 
 - something you cant control :)
4. Bank Account!!
 - address!?","1. There are some good papers and there are some bad papers, your goal is to write a good paper so its in your best interests to work towards clarity and true research
2. my body pains are real, need to focus on them
3. I get lonely too often
4. Its good to spend, feels good and keeps you motivated
",I am fuckless about others noticing my belly when I breathe,I am fuckless about others noticing my belly when I breathe,I am fuckless about others noticing my belly when I breathe,I am fuckless about others noticing my belly when I breathe,4,7,,6,5,Didn't do it,,8,Didn't do it,Didn't do it,,Didn't do it,9,10,11,12,,13,"Not sleeping, filling the form in the morning",1,3,Didn't do it,2,Forgot when,Didn't do it,none,"breakfast - huel
lunch - huel
snacks1 - bread tomato curd
snack2 - cereals
dinner - omg  I missed dinner and hence was hungry",Continue form,,,,,,,,,,,,,
3/15/2020 23:56:50,3343,Somewhat,,,,,,,,I am self-validated and confident,"1. andy spoke about when dan joined the flat - dandan, how henry is weird -girls, zac-sunglass,
2. dan spoke about the frat life in misu
3. drinking game, whenever winston makes me laugh drink ",,,No,,,"1. stoning and discussing with andy
2.  submitting the forged lease agreement
3. going to nuggets for getting booze
4. vscode extension enhancement
5. running","1. I was uptight about a few things.
2. I assume sexual orientation
3. I wasn't paying attention to the show for my turn to drink
4. I wasn't able to communicate what I wanted (as its sexual)",,"1. Americans have a more privileged upbringing
2. The color divide is strong
3.  The real America is more freedom than we think/know","1. We have enough time to do everything, not at all as it took me a lot of hours, the only thing that I did yesterday, for getting a small heading detection
2. A lot of ideas about America",1. open hand cycling,"(For today)

1. Harp! I will learn this for a few hours
2. Rust Coding
3. Watch a movie (booksmart or chained for life) or episodes
4. Read book / neuroscience
5. Check out some repositories, especially PPNP","1. more self discipline
2. more productivity at work
3. to be happier with my self, alone, and to be more focused on myself
4. setup python NLP module and test their capabilities","1. better timemanagement
2. taskwarrior? setup
- this is a shorthand expression where if taskwarrior? evaluates to yes then we setup!
3. it does make you happy, graph neural networks, you know it, don't forget how jealous you would be if someone else was working on this!!! So chill and work :)","1. leetcode
-- the reason is because now the job market is down, I should start sending my resume places so that I can stop worrying about an after davis situation","1. being a better true person!
 - maybe just saying that makes me non-human but hey this is supposed to be meta-learning
2. habit to be happier with myself, not alone getting bored but to enjoy solitude with a book in hand or dancing or music etc 
3. To think of an idea to connect the world with wfh
-- with ideas like I can get help from a plumber while I stream my house to him and he guides me step by step as to what to do!
-- this involves safety issues like connecting people from different parts of the world, no android spoofing of location, no recording of video etc","1. What to do during this coronavirus work from home phase
--> Self improvement, and other things which you have wanted to do!
Wake up early, use that time for meditation, study, go for a jog/workout when you feel like,
focus on hobbies, play the harp, go for dances, lookout for opportunities, your project is something you wanted, I don't think you will ever be as free as you are now, and you have to trust yourself that you can do it and be independent/self-centered enough to like what you do!
2. Too skeptical about starting something like a massive work from home project
--> you don't have a concrete idea yet, start small, throw it out to people for ideas, modifications
3. Will I grow to be the person I want to be
--> take baby steps, evaluate, think good, read, ask, talk, discuss, and you will slowly climb into something/someone that you want to be, that will define you or in better words that which you will define","1. I look for external stimulation and validation for happiness
2. Very few things in life that make me happy for itself
3. Andy has a great memory as he links every conversation to a hash for better recall
4. How callbacks work in Javascript - a refresher'
5. I am like coach from New Girl, how bad is he at talking to girls?
6. Bread is supposed to be Toasted (always)!",I am self-validated and confident,I am self-validated and confident,I am self-validated and confident,I am self-validated and confident,8,10,,9,4,Didn't do it,,7,6,5,,Didn't do it,11,13,Didn't do it,Didn't do it,,14,Not sleeping right now,3,1,12,2,Forgot when,Didn't do it,"recreational - new girl + weed + booze, learn - vscode programming extension","1. brunch was soup + bread + broccoli
2. lunch was shake
3. dinner was beer + peanut-butter toast",Continue form,I am confident about me and my work,,,,,,,,,,,,
3/16/2020 13:39:12,3343,Yes,,,,,,,,I am living in the present,"Oiled hair

Have this idea of a project system for the world which enables people to work from home, people video streaming, plumber diy etc, 

",,,No,,,"1. I failed at the second rust exercism problem
2. I was super agitated most of the time but I realised it
3. I tried Hey Jude on the harmonica
4. I bought food for the apocalypse (apparently trump will call for a nation-wide quarantine
5. I got my oversized skechers and issued an exchange
6. I reinstalled tinder and am at 11 likes and 1 match. ","1. I would think and be calmer during the rust exercise
2. I would think and be calmer during the reading try
3. I would think and be calmer at Safeway
4. Why am I working my brain out for nothing?",,"1. Need to work on the global project concept
2. Breathing correct is important
3. I clearly overthink, stress, my head is always aching","1. Its the same one that got reduced yesterday, I think I have enough time to do everything. 
2. Checking the phone midtask does not kill productivity, i realise that most of my productivity does go when I check my phone.","1. be less judgemental
2. look less in the mirror
3. think less before speaking or think just whether its with the right intention","1. drop off amazon return after printing page
2. read repositories","1. try to be productive at home
2. eat healthier
","1. calendar scheduling with earphones are good, get your anc headphones if oneplus is not convenient for work
2. with all the ingredients at home, try to chalk out some meals 
","1. LEET CODE - already explained before :) but today I tried to read one of the papers on datastructures (couldn't read but it still was a start)
2. Reading - I get easily distracted while reading as my ears are always busy listening to my surroundings
3. Tennis - Ping Felix!! Well its raining too.","1. make the most of coronavirus slowly and steadily
2. watch more lindy hop and get inspired!","1. headache
- try to understand how and when you get it, it could be linked to eyesight
2. bank account
- try transferwise, if something happens show them the nick fb discussion, if no work then go to Bank of America
3. immunity - take care of your health as you cant afford to get the virus and also you can't just stop all workout because of this","1. Rust trait and impl, how they work, pretty logical and nice after reading!
2. Harmonica how to breathe, same as belly and no sucking etc when playing, its like normal breathing for the most part but with the lips in action
3. sleep is the best
4. I need a wake up from sleep routing otherwise I keep checking tinder/hinge", I am living in the present,I am living in the present,I am living in the present,I am living in the present,Didn't do it,10,,9,4,5,,6,Didn't do it,7,,Didn't do it,8,12,Didn't do it,13,,14,Sleep like a log!,1,3,11,2,Didn't do it,Didn't do it,"recreational - shopping in safeway, learn - rust exercism, practise - harmonica (hey jude, some breathing, etc)","breakfast - milk + cereals
lunch - huel
snacks - milk + cereal
dinner - peanut butter + butter + milk + bread",Continue form,I am living in the present,,,,,,,,,,,,
